name,left_eye_x,left_eye_y,right_eye_x,right_eye_y,face_x,face_y,face_width,face_height
1.jpg,472,682,636,712,311,512,461,461
2.jpg,
3.jpg,552,696,704,712,359,528,515,515
4.jpg,536,718,738,704,371,502,520,520
5.jpg,389,784,628,782,199,554,623,623
6.jpg,500,606,696,602,357,415,476,476
7.jpg,329,704,542,712,195,519,485,485
8.jpg,466,761,626,760,287,567,506,506
9.jpg,489,659,695,620,290,468,515,515
10.jpg,494,716,711,614,328,501,530,530
11.jpg,273,639,561,693,157,480,494,494
12.jpg,459,700,716,716,355,511,505,505
13.jpg,443,915,695,841,239,648,695,695
14.jpg,486,735,706,718,330,504,544,544
15.jpg,348,726,540,711,217,560,429,429
16.jpg,422,710,634,722,247,524,504,504
17.jpg,402,751,594,723,281,562,511,511
18.jpg,446,680,638,696,300,512,486,486
19.jpg,473,715,654,712,327,530,474,474
20.jpg,490,718,664,706,348,533,469,469
21.jpg,386,659,648,621,230,469,618,618
22.jpg,
23.jpg,476,704,648,701,330,526,468,468
24.jpg,516,736,716,754,359,551,516,516
25.jpg,
26.jpg,464,675,591,654,285,545,542,542
27.jpg,597,1078,656,1132,459,988,375,375
28.jpg,526,684,674,605,358,502,501,501
29.jpg,405,728,603,752,243,558,529,529
30.jpg,338,796,709,764,187,541,674,674
31.jpg,404,807,579,801,222,616,503,503
32.jpg,296,784,516,750,186,604,465,465
33.jpg,494,692,739,636,328,511,523,523
34.jpg,500,691,714,759,356,563,530,530
35.jpg,350,709,560,696,169,476,581,581
36.jpg,381,739,583,707,246,548,470,470
37.jpg,360,810,629,781,264,601,475,475
38.jpg,505,718,662,716,386,566,383,383
39.jpg,304,725,514,800,53,513,754,754
40.jpg,468,725,652,722,301,516,513,513
41.jpg,489,821,673,802,306,605,538,538
42.jpg,382,640,657,710,262,498,544,544
43.jpg,285,721,491,714,136,518,524,524
44.jpg,384,719,603,626,225,530,516,516
45.jpg,442,694,616,724,342,553,402,402
46.jpg,407,706,600,704,215,485,599,599
47.jpg,445,705,634,735,226,463,652,652
48.jpg,
49.jpg,306,783,559,820,110,561,652,652
50.jpg,505,718,677,724,268,500,582,582
51.jpg,388,722,616,738,225,524,559,559
52.jpg,504,629,728,570,270,445,671,671
53.jpg,
54.jpg,418,768,662,807,189,524,646,646
55.jpg,428,730,604,726,279,528,513,513
56.jpg,480,614,700,624,322,415,544,544
57.jpg,375,697,581,738,152,475,607,607
58.jpg,435,701,625,702,236,479,554,554
59.jpg,299,764,594,810,97,561,688,688
60.jpg,285,702,494,726,114,523,524,524
61.jpg,568,750,830,772,371,503,620,620
62.jpg,378,647,618,771,208,507,641,641
63.jpg,512,645,736,647,381,448,514,514
64.jpg,404,724,621,704,271,505,545,545
65.jpg,435,722,653,706,290,510,525,525
66.jpg,463,794,670,806,263,574,549,549
67.jpg,508,691,686,717,333,509,488,488
68.jpg,461,756,732,775,225,522,648,648
69.jpg,
70.jpg,485,592,666,764,270,558,587,587
71.jpg,406,586,614,590,288,395,458,458
72.jpg,401,792,704,825,192,571,628,628
73.jpg,421,670,624,686,293,501,474,474
74.jpg,379,634,564,676,254,506,429,429
75.jpg,380,709,641,631,251,486,558,558
76.jpg,470,648,686,658,346,462,473,473
77.jpg,390,651,585,651,202,438,566,566
78.jpg,362,715,612,721,194,483,590,590
79.jpg,354,717,587,765,225,551,514,514
80.jpg,493,753,642,754,312,573,489,489
81.jpg,251,700,544,710,187,497,526,526
82.jpg,450,743,684,669,267,508,611,611
83.jpg,541,656,755,677,331,435,604,604
84.jpg,446,681,642,684,273,481,524,524
85.jpg,512,655,688,658,361,467,484,484
86.jpg,537,677,730,692,380,495,492,492
87.jpg,433,721,674,709,280,514,525,525
88.jpg,362,904,560,859,131,605,688,688
89.jpg,376,772,685,883,170,629,680,680
90.jpg,432,923,676,896,238,657,647,647
91.jpg,328,680,554,693,169,478,562,562
92.jpg,
93.jpg,378,746,585,729,178,504,597,597
94.jpg,
95.jpg,410,700,576,716,210,493,567,567
96.jpg,362,791,634,733,182,535,687,687
